carat,cut,color,clarity,depth,table,price,x,y,z
0.42,Very Good,F,VS1,59.8,57,921,4.85,4.89,2.91
0.76,Ideal,E,SI1,62.4,57,3087,5.83,5.87,3.65
1.21,Very Good,H,VS1,60.4,59,7196,6.88,6.97,4.18
0.91,Very Good,H,VS2,59.9,62,4201,6.26,6.33,3.77
0.4,Ideal,D,VS2,61.3,56,982,4.74,4.79,2.92
1.02,Good,J,SI2,63.4,56,3534,6.36,6.42,4.05
1.24,Premium,F,VS1,58,58,9930,7.16,7.02,4.11
1.5,Premium,D,SI2,58.9,60,8518,7.48,7.45,4.4
1.31,Ideal,F,VS1,62.1,55,12825,6.97,7,4.34
1.13,Premium,G,VS1,60,60,7404,6.87,6.72,4.08
0.57,Very Good,D,IF,61.3,57,4032,5.33,5.41,3.29
0.41,Very Good,E,SI1,63.1,57,878,4.73,4.71,2.98
0.49,Premium,G,VS2,59.8,59,1240,5.16,5.14,3.08
0.42,Very Good,G,SI1,63.2,57,945,4.79,4.77,3.02
1.14,Premium,E,VVS2,59.7,58,10446,6.91,6.83,4.1
0.91,Very Good,E,VS1,61.8,60,5530,6.17,6.2,3.82
0.32,Premium,H,VS1,60.5,59,720,4.42,4.41,2.67
0.77,Premium,E,SI1,62.9,59,2846,5.84,5.79,3.66
0.8,Ideal,F,SI2,61.4,56,3064,5.99,5.93,3.66
0.51,Premium,F,VS1,61.4,58,1744,5.15,5.18,3.17
1.5,Very Good,H,VVS2,62.9,59,11748,7.26,7.31,4.58
0.31,Very Good,H,VS1,62.8,58,544,4.29,4.31,2.7
0.3,Very Good,G,VVS2,62.1,59,684,4.23,4.27,2.64
1.01,Very Good,F,SI1,61.3,60,5975,6.39,6.43,3.93
1.16,Ideal,I,VS2,61.5,57,5302,6.78,6.75,4.16
0.33,Premium,H,IF,62,58,868,4.39,4.42,2.73
0.72,Very Good,H,SI2,63.3,57,1698,5.7,5.67,3.6
1.01,Premium,H,SI1,62.9,58,3224,6.38,6.34,4
2.03,Premium,G,SI2,60.1,60,17393,8.27,8.2,4.95
0.39,Premium,J,VVS1,62.8,58,921,4.66,4.61,2.91
0.52,Ideal,G,VS1,61.3,56,1576,5.17,5.2,3.18
1.01,Ideal,E,VVS2,62,56,9483,6.43,6.35,4.01
1.26,Ideal,F,IF,62.6,57,13671,6.94,6.84,4.31
1,Ideal,G,VS1,62.7,53,7114,6.39,6.46,4.03
0.5,Premium,E,SI2,59.5,59,1154,5.16,5.19,3.08
0.3,Ideal,G,VVS2,61.8,57,665,4.29,4.32,2.66
0.67,Premium,F,SI1,61.3,59,1809,5.65,5.63,3.46
0.56,Ideal,I,VS2,62.1,54,1237,5.3,5.33,3.3
0.32,Premium,I,VS1,62.6,58,648,4.4,4.38,2.75
0.76,Ideal,D,SI1,62.8,57,3075,5.81,5.85,3.66
0.5,Ideal,J,SI1,62.3,55,895,5.07,5.11,3.17
0.3,Ideal,G,VVS2,61.5,57,684,4.29,4.33,2.65
1.08,Very Good,F,VS2,63.1,57,6319,6.56,6.5,4.12
0.3,Very Good,H,VVS1,62.3,56,626,4.26,4.31,2.67
1.18,Ideal,G,VS2,62.7,55,8564,6.77,6.74,4.23
0.4,Very Good,D,SI1,63.1,57,924,4.73,4.69,2.97
0.7,Ideal,D,SI1,61.8,56,3454,5.7,5.72,3.53
0.57,Ideal,H,SI1,61.8,57,1397,5.32,5.36,3.3
0.86,Good,F,SI2,64.3,60,2819,5.97,5.95,3.83
0.51,Ideal,E,SI1,62.7,55,1438,5.07,5.1,3.19
1.24,Very Good,G,VS1,60.2,58,9738,6.96,7,4.2
1.23,Ideal,G,VS2,61.5,54,7988,6.89,6.92,4.25
1.25,Ideal,F,VVS1,62.2,56,12698,6.93,6.89,4.3
0.77,Ideal,E,SI1,61,56,3827,5.92,5.94,3.62
1.83,Fair,J,I1,70,58,5083,7.34,7.28,5.12
0.61,Very Good,E,SI1,60.1,59,1721,5.48,5.51,3.3
1.57,Premium,I,VS2,62.6,58,9847,7.4,7.36,4.62
1.04,Ideal,F,VVS2,62.2,56,9115,6.46,6.53,4.04
1.55,Ideal,E,SI2,62.3,55,6901,7.44,7.37,4.61
1.12,Very Good,G,VVS1,58.9,60,8072,6.78,6.91,4.03
0.72,Ideal,H,VS2,61.7,56,3122,5.74,5.77,3.56
0.51,Very Good,G,VVS2,62.9,57,1750,5.06,5.12,3.2
0.9,Ideal,E,SI1,61.7,57,4921,6.18,6.24,3.83
1.23,Good,D,I1,63.7,58,3977,6.72,6.79,4.3
0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87
1.75,Ideal,G,VS2,61.5,57,17343,7.76,7.72,4.76
1.5,Very Good,G,SI1,62.2,58,9515,7.21,7.28,4.51
0.71,Ideal,D,VS1,60.9,57,3518,5.74,5.76,3.5
0.9,Premium,H,SI1,62,62,3679,6.13,6.03,3.77
0.46,Ideal,E,VS1,60.3,56,1834,5.02,5.06,3.04
1.21,Premium,I,VS1,61.2,59,5540,6.86,6.84,4.19
0.35,Premium,F,VS2,61.4,59,706,4.53,4.56,2.79
0.32,Premium,E,IF,61.6,58,1095,4.38,4.39,2.7
0.34,Ideal,E,VS2,62.2,55,745,4.48,4.49,2.79
0.41,Very Good,H,SI1,62.8,56,683,4.72,4.77,2.98
0.7,Very Good,G,VS2,61.3,57,2433,5.66,5.7,3.48
0.3,Premium,H,IF,60.4,60,1013,4.34,4.3,2.61
1.5,Very Good,G,VS1,60.2,58,13596,7.38,7.41,4.45
1.24,Ideal,J,VS2,62.3,56,5443,6.84,6.91,4.28
1.05,Premium,E,SI2,62.2,59,3886,6.51,6.44,4.03
0.71,Ideal,D,VS1,62.1,57,3801,5.7,5.73,3.55
0.42,Premium,F,SI1,60,59,773,4.85,4.88,2.92
1.51,Premium,I,SI2,60.4,56,7577,7.4,7.36,4.46
0.32,Ideal,H,VVS1,61.9,56,730,4.38,4.41,2.72
0.53,Ideal,D,SI1,61.7,56,1631,5.15,5.23,3.2
2.41,Premium,I,SI2,60.7,59,13563,8.7,8.64,5.26
0.71,Good,E,VS2,59.2,61,2772,5.8,5.88,3.46
0.34,Ideal,H,SI1,61.3,57,526,4.54,4.55,2.78
0.72,Very Good,G,SI2,60.6,57,2114,5.79,5.86,3.53
1.6,Premium,G,VVS1,61.5,58,17204,7.48,7.58,4.63
0.73,Ideal,E,SI1,62.7,55,2852,5.7,5.79,3.6
0.35,Premium,H,VVS1,62.1,58,798,4.46,4.52,2.79
1.34,Premium,H,VS2,62.3,60,7630,7.05,7.02,4.38
0.3,Ideal,E,VS2,62.1,55,621,4.32,4.35,2.69
0.86,Ideal,G,SI2,61.9,55,3442,6.11,6.14,3.79
2.02,Premium,H,SI1,62.2,59,14574,8.09,8.05,5.02
1.52,Premium,H,VS1,60.6,58,12047,7.46,7.39,4.5
2.14,Ideal,I,SI2,60.7,57,14138,8.34,8.4,5.08
1.01,Premium,E,SI1,62.4,58,4399,6.37,6.42,3.99
0.32,Premium,E,SI1,61.9,59,720,4.39,4.36,2.71
